"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts","nfactor","normcounts","rpk","rpm","tpm"
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",8165,8756,"T7p14","1.7",85383,2080397,0.041041685793625,0.0694444768081641,3.87171527087408e-06,0.017936359455608
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",8748,8895,"T7p15","1.8",30084,2080397,0.0144607014911096,0.0983721189871404,3.87171527087408e-06,0.0254078908454784
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",8897,9092,"T7p16","2",30717,2080397,0.0147649703397957,0.075717796614337,3.87171527087408e-06,0.0195566541744282
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",9157,9856,"T7p17","2.5",106696,2080397,0.0512863650543622,0.0733710515799173,3.87171527087408e-06,0.018950528757078
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",9856,10276,"T7p18","2.8",60489,2080397,0.0290757004552496,0.0692278582267849,3.87171527087408e-06,0.0178804104598208
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",10256,10706,"T7p19","3",67050,2080397,0.0322294254413941,0.0716209454253203,3.87171527087408e-06,0.0184985052914677
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",10705,11161,"T7p20","3.5",120452,2080397,0.0578985645528233,0.126970536300051,3.87171527087408e-06,0.0327943888992091
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",11224,11590,"T7p21","3.8",7275,2080397,0.00349692871120272,0.00955445003060852,3.87171527087408e-06,0.00246775637208764
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",11564,13265,"T7p22","4A",86371,2080397,0.041516595149868,0.0244071694002751,3.87171527087408e-06,0.0063039680587785
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",11634,11757,"T7p23","4.1",7521,2080397,0.00361517537277741,0.0293916696973773,3.87171527087408e-06,0.00759138202090513
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",11753,13265,"T7p24","4B",80256,2080397,0.0385772523225134,0.0255140557688581,3.87171527087408e-06,0.00658985849522402
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",12987,13326,"T7p25","4.2",36651,2080397,0.0176173105421706,0.0519684676760193,3.87171527087408e-06,0.0134225954235232
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",13351,13564,"T7p26","4.3",67106,2080397,0.0322563433806144,0.15143823183387,3.87171527087408e-06,0.039113989856925
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",13583,13853,"T7p27","4.5",89409,2080397,0.0429768933525668,0.159173679083581,3.87171527087408e-06,0.0411119279046689
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",13926,14334,"T7p28","4.7",13764,2080397,0.00661604491834972,0.0162157963685042,3.87171527087408e-06,0.00418827192445981
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",14352,16467,"T7p29","5",73268,2080397,0.0352182780498145,0.0166516681086594,3.87171527087408e-06,0.0043008503837887
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",16482,16839,"T7p30","5.3",31109,2080397,0.0149533959143375,0.0418862630653712,3.87171527087408e-06,0.0108185287746934
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",16850,17359,"T7p31","5.5-5.7",70521,2080397,0.0338978569955638,0.0665969685570999,3.87171527087408e-06,0.0172008951841298
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",16850,17150,"T7p32","5.5",49939,2080397,0.0240045529771481,0.0800151765904937,3.87171527087408e-06,0.0206665963255168
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",17149,17359,"T7p33","5.7",37470,2080397,0.0180109854032668,0.0857665971584132,3.87171527087408e-06,0.0221520931055063
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",17358,17517,"T7p34","5.9",32782,2080397,0.0157575693485426,0.0991042097392617,3.87171527087408e-06,0.0255969777748889
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",17503,18406,"T7p35","6",156275,2080397,0.075117874136523,0.0831870145476445,3.87171527087408e-06,0.0214858295942987
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",18393,18507,"T7p36","6.3",34832,2080397,0.0167429581949984,0.146868054342091,3.87171527087408e-06,0.0379335886207701
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",18604,18859,"T7p37","6.5",48176,2080397,0.0231571185691962,0.0908122296831222,3.87171527087408e-06,0.0234552965106394
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",18863,19130,"T7p38","6.7",70230,2080397,0.0337579798471157,0.126434381449872,3.87171527087408e-06,0.0326559089716656
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",19129,19531,"T7p39","7",86068,2080397,0.041370949871587,0.102912810625838,3.87171527087408e-06,0.0265806763736024
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",19534,19834,"T7p40","7.3",79923,2080397,0.0384171867196501,0.1280572890655,3.87171527087408e-06,0.0330750791590597
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",19847,20240,"T7p41","7.7",59454,2080397,0.028578199257161,0.0727180642675853,3.87171527087408e-06,0.0187818729374612
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",20239,21850,"T7p42","8",134488,2080397,0.0646453537473857,0.0401274697376696,3.87171527087408e-06,0.0103642615559926
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",21949,22873,"T7p43","9",67597,2080397,0.0324923560262777,0.0351648874743265,3.87171527087408e-06,0.00908250865936938
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",22966,24162,"T7p44","10B",131392,2080397,0.0631571762504945,0.0528070035539252,3.87171527087408e-06,0.0136391753678734
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",22966,24004,"T7p45","10A",116796,2080397,0.0561412076637296,0.0540859418725718,3.87171527087408e-06,0.013969503976557
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",24227,24818,"T7p46","11",9997,2080397,0.00480533282830152,0.00813085080930883,3.87171527087408e-06,0.00210006424554903
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",24841,27226,"T7p47","12",49087,2080397,0.0235950157590114,0.00989308836855823,3.87171527087408e-06,0.0025552210522766
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",27306,27723,"T7p48","13",21757,2080397,0.010458100064555,0.0250793766536091,3.87171527087408e-06,0.00647758807117734
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",27727,28318,"T7p49","14",59045,2080397,0.0283816021653559,0.0480230155082165,3.87171527087408e-06,0.0124035504029651
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",28324,30568,"T7p50","15",159988,2080397,0.0769026296423231,0.0342703340652064,3.87171527087408e-06,0.00885146031347225
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",30594,34551,"T7p51","16",224603,2080397,0.107961605405122,0.0272837011385196,3.87171527087408e-06,0.00704692861682467
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",34623,36285,"T7p52","17",393748,2080397,0.189265798787443,0.113878338620603,3.87171527087408e-06,0.0294128908386629
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",36343,36547,"T7p53","17.5",37650,2080397,0.0180975073507605,0.0887132713272571,3.87171527087408e-06,0.0229131702929253
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",36552,36822,"T7p54","18",50189,2080397,0.0241247223486671,0.0893508235135819,3.87171527087408e-06,0.0230778394748563
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",36916,37348,"T7p55","18.5",52985,2080397,0.0254686965997355,0.0589553162030915,3.87171527087408e-06,0.0152271828061834
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",37031,37283,"T7p56","18.7",38466,2080397,0.0184897401793985,0.0733719848388827,3.87171527087408e-06,0.0189507698024288
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",37369,39130,"T7p57","19",203880,2080397,0.0980005258611698,0.0556504973657977,3.87171527087408e-06,0.0143736027761241
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",38015,38273,"T7p58","19.2",45072,2080397,0.0216650956524163,0.083973238962854,3.87171527087408e-06,0.0216888983532863
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",38552,38726,"T7p59","19.3",28624,2080397,0.0137589123614387,0.0790742089737857,3.87171527087408e-06,0.0204235599576861
"phi910v2","wt-910","wt","phi910","PA138","3","T7Hi",39388,39538,"T7p60","19.5",91583,2080397,0.044021886207296,0.293479241381973,3.87171527087408e-06,0.0758008326670462
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",890,1468,"T7p01","0.3",49290,5519147,0.00893072788240647,0.0154510863017413,4.86245939916617e-06,0.00317762782849989
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",1277,1433,"T7p02","0.4",1,5519147,1.81187418997899e-07,1.1614578140891e-06,4.86245939916617e-06,2.3886221328414e-07
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",1468,3138,"T7p03","0.7",79357,5519147,0.0143784900094163,0.00860987425713552,4.86245939916617e-06,0.00177068301251255
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",1495,1639,"T7p04","0.5",2,5519147,3.62374837995799e-07,2.51649193052638e-06,4.86245939916617e-06,5.17534795448969e-07
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",1635,1972,"T7p05","0.6B",2,5519147,3.62374837995799e-07,1.07529625518041e-06,4.86245939916617e-06,2.21142464524189e-07
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",1635,1797,"T7p06","0.6A",1,5519147,1.81187418997899e-07,1.11844085801173e-06,4.86245939916617e-06,2.30015464643986e-07
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",3138,5887,"T7p07","1",155965,5519147,0.0282588958040074,0.0102797001833421,4.86245939916617e-06,0.00211409481076693
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",5887,6448,"T7p08","1.2",166531,5519147,0.0301733220731392,0.0537848878309077,4.86245939916617e-06,0.0110612518101706
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",6006,6135,"T7p09","1.1",33575,5519147,0.00608336759285448,0.0471578883167014,4.86245939916617e-06,0.00969836135285533
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",6448,7588,"T7p10","1.3",269696,5519147,0.0488655221540575,0.0428644931175943,4.86245939916617e-06,0.00881539352800454
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",7607,7763,"T7p11","1.4",17311,5519147,0.00313653541027264,0.0201059962196964,4.86245939916617e-06,0.00413494377416174
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",7790,7880,"T7p12","1.5",26209,5519147,0.00474874106451595,0.0527637896057328,4.86245939916617e-06,0.0108512555631376
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",7905,8166,"T7p13","1.6",67880,5519147,0.0122990020015774,0.0471226130328637,4.86245939916617e-06,0.00969110673519338
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",8165,8756,"T7p14","1.7",146667,5519147,0.0265742151821649,0.044964831103494,4.86245939916617e-06,0.00924734325004434
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",8748,8895,"T7p15","1.8",53144,5519147,0.00962902419522437,0.0655035659539073,4.86245939916617e-06,0.0134712828584523
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",8897,9092,"T7p16","2",45071,5519147,0.00816629816165433,0.0418784521110478,4.86245939916617e-06,0.00861260705194356
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",9157,9856,"T7p17","2.5",141118,5519147,0.0255688061941456,0.0365791218800366,4.86245939916617e-06,0.00752276140060096
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",9856,10276,"T7p18","2.8",152395,5519147,0.0276120567181849,0.0657429921861545,4.86245939916617e-06,0.0135205225975621
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",10256,10706,"T7p19","3",200711,5519147,0.0363663080544874,0.0808140178988609,4.86245939916617e-06,0.0166199882126973
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",10705,11161,"T7p20","3.5",551530,5519147,0.0999302971999115,0.219145388596297,4.86245939916617e-06,0.0450688366948373
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",11224,11590,"T7p21","3.8",6314,5519147,0.00114401736355274,0.00312573050151021,4.86245939916617e-06,0.000642829121009467
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",11564,13265,"T7p22","4A",78001,5519147,0.0141327998692552,0.00830852432054977,4.86245939916617e-06,0.00170870821501863
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",11634,11757,"T7p23","4.1",6171,5519147,0.00111810756263604,0.00909030538728486,4.86245939916617e-06,0.00186948715476034
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",11753,13265,"T7p24","4B",73204,5519147,0.0132636438203222,0.00877225120391682,4.86245939916617e-06,0.00180407700790697
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",12987,13326,"T7p25","4.2",34314,5519147,0.00621726509549392,0.0183400150309555,4.86245939916617e-06,0.00377175694960055
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",13351,13564,"T7p26","4.3",50258,5519147,0.00910611730399643,0.0427517244319081,4.86245939916617e-06,0.00879220183087581
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",13583,13853,"T7p27","4.5",56027,5519147,0.0101513875241953,0.0375977315710938,4.86245939916617e-06,0.00773224586256517
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",13926,14334,"T7p28","4.7",18179,5519147,0.00329380608996281,0.00807305414206572,4.86245939916617e-06,0.00166028206702355
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",14352,16467,"T7p29","5",99775,5519147,0.0180779747305154,0.00854750578274961,4.86245939916617e-06,0.00175785648394624
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",16482,16839,"T7p30","5.3",61758,5519147,0.0111897726224723,0.0313439009032837,4.86245939916617e-06,0.00644610028181595
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",16850,17359,"T7p31","5.5-5.7",173220,5519147,0.0313852847188162,0.061660677247183,4.86245939916617e-06,0.0126809649573129
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",16850,17150,"T7p32","5.5",122027,5519147,0.0221097571780567,0.0736991905935223,4.86245939916617e-06,0.0151567724362203
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",17149,17359,"T7p33","5.7",96296,5519147,0.0174476236998217,0.0830839223801035,4.86245939916617e-06,0.0170868105128756
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",17358,17517,"T7p34","5.9",64681,5519147,0.0117193834482031,0.0737068141396424,4.86245939916617e-06,0.0151583402737063
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",17503,18406,"T7p35","6",365010,5519147,0.0661352198084233,0.0732394460779881,4.86245939916617e-06,0.0150622226461258
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",18393,18507,"T7p36","6.3",95075,5519147,0.0172263938612253,0.151108718080924,4.86245939916617e-06,0.0310766025330384
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",18604,18859,"T7p37","6.5",315488,5519147,0.0571624564448093,0.224166495861997,4.86245939916617e-06,0.0461014637778648
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",18863,19130,"T7p38","6.7",368520,5519147,0.0667711876491059,0.250079354491033,4.86245939916617e-06,0.0514306308725
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",19129,19531,"T7p39","7",522974,5519147,0.0947563092630075,0.235712212097034,4.86245939916617e-06,0.0484759239609186
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",19534,19834,"T7p40","7.3",448910,5519147,0.0813368442623471,0.271122814207824,4.86245939916617e-06,0.0557583708059992
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",19847,20240,"T7p41","7.7",306489,5519147,0.0555319508612472,0.141302673947194,4.86245939916617e-06,0.0290599185201269
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",20239,21850,"T7p42","8",414995,5519147,0.0751918729470333,0.0466740365903372,4.86245939916617e-06,0.00959885374021653
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",21949,22873,"T7p43","9",284065,5519147,0.0514690041776383,0.0557023854736345,4.86245939916617e-06,0.0114555990911074
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",22966,24162,"T7p44","10B",628385,5519147,0.113855456286995,0.0951968698051798,4.86245939916617e-06,0.0195779258992897
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",22966,24004,"T7p45","10A",579210,5519147,0.104945564957773,0.101103627126949,4.86245939916617e-06,0.0207926933321617
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",24227,24818,"T7p46","11",45236,5519147,0.00819619408578898,0.0138683487069188,4.86245939916617e-06,0.00285212637647873
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",24841,27226,"T7p47","12",192467,5519147,0.0348725989722687,0.0146216347892112,4.86245939916617e-06,0.00300704511624684
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",27306,27723,"T7p48","13",87662,5519147,0.0158832515241939,0.0380893321923114,4.86245939916617e-06,0.00783334709156504
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",27727,28318,"T7p49","14",253692,5519147,0.0459657987004151,0.0777763091377582,4.86245939916617e-06,0.0159952614002485
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",28324,30568,"T7p50","15",675019,5519147,0.122304950384543,0.0545030973193151,4.86245939916617e-06,0.0112089567943048
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",30594,34551,"T7p51","16",896432,5519147,0.162422200387125,0.0410468032315201,4.86245939916617e-06,0.00844157243524931
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",34623,36285,"T7p52","17",1488496,5519147,0.269696748428697,0.162272411810287,4.86245939916617e-06,0.0333724970203585
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",36343,36547,"T7p53","17.5",129923,5519147,0.0235404130384641,0.115394181561099,4.86245939916617e-06,0.0237316493749823
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",36552,36822,"T7p54","18",196369,5519147,0.0355795922811985,0.131776267708143,4.86245939916617e-06,0.027100744066005
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",36916,37348,"T7p55","18.5",177277,5519147,0.0321203620776906,0.0743526899946542,4.86245939916617e-06,0.0152911693221345
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",37031,37283,"T7p56","18.7",128713,5519147,0.0233211762614766,0.0925443502439549,4.86245939916617e-06,0.019032416036178
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",37369,39130,"T7p57","19",859410,5519147,0.155714279760985,0.0884237818063514,4.86245939916617e-06,0.0181849912868197
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",38015,38273,"T7p58","19.2",180325,5519147,0.0326726213307962,0.126638067173629,4.86245939916617e-06,0.0260440359040006
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",38552,38726,"T7p59","19.3",122926,5519147,0.0222726446677358,0.128003704986987,4.86245939916617e-06,0.0263248892132524
"phi910v2","wt-910","wt","phi910","PA144","4","T7Hi",39388,39538,"T7p60","19.5",610029,5519147,0.11052958002387,0.736863866825798,4.86245939916617e-06,0.151541392191811
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",890,1468,"T7p01","0.3",57793,7858351,0.0073543418969196,0.0127237749081654,3.96741337893237e-06,0.00320707062584675
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",1277,1433,"T7p02","0.4",0,7858351,0,0,3.96741337893237e-06,0
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",1468,3138,"T7p03","0.7",77832,7858351,0.00990436797745481,0.00593075926793701,3.96741337893237e-06,0.00149486799117792
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",1495,1639,"T7p04","0.5",4,7858351,5.09012641456204e-07,3.53481001011253e-06,3.96741337893237e-06,8.90960853457561e-07
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",1635,1972,"T7p05","0.6B",1,7858351,1.27253160364051e-07,3.77605817104009e-07,3.96741337893237e-06,9.51768270755851e-08
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",1635,1797,"T7p06","0.6A",0,7858351,0,0,3.96741337893237e-06,0
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",3138,5887,"T7p07","1",171439,7858351,0.0218161545596525,0.00793603294276192,3.96741337893237e-06,0.00200030402299483
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",5887,6448,"T7p08","1.2",215654,7858351,0.027442653045149,0.0489173851072175,3.96741337893237e-06,0.0123297928486548
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",6006,6135,"T7p09","1.1",45472,7858351,0.00578645570807412,0.0448562457990242,3.96741337893237e-06,0.0113061689102574
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",6448,7588,"T7p10","1.3",354761,7858351,0.0451444584239111,0.0396004021262378,3.96741337893237e-06,0.00998141568421445
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",7607,7763,"T7p11","1.4",24701,7858351,0.00314328031415242,0.0201492327830283,3.96741337893237e-06,0.00507868247105889
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",7790,7880,"T7p12","1.5",66387,7858351,0.00844795555708825,0.0938661728565361,3.96741337893237e-06,0.0236592872713948
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",7905,8166,"T7p13","1.6",163944,7858351,0.020862392122724,0.0799325368686742,3.96741337893237e-06,0.0201472670564478
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",8165,8756,"T7p14","1.7",433485,7858351,0.0551623362204106,0.093337286328952,3.96741337893237e-06,0.0235259796280843
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",8748,8895,"T7p15","1.8",171388,7858351,0.021809664648474,0.148365065635877,3.96741337893237e-06,0.0373959180618084
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",8897,9092,"T7p16","2",168188,7858351,0.021402454535309,0.109756177104149,3.96741337893237e-06,0.0276644167423976
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",9157,9856,"T7p17","2.5",482292,7858351,0.0613731812182989,0.0878014037457781,3.96741337893237e-06,0.0221306416447599
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",9856,10276,"T7p18","2.8",261791,7858351,0.0333137321048653,0.0793184097734887,3.96741337893237e-06,0.0199924742389293
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",10256,10706,"T7p19","3",389392,7858351,0.0495513626204785,0.110114139156619,3.96741337893237e-06,0.0277546422919637
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",10705,11161,"T7p20","3.5",571398,7858351,0.072712201325698,0.159456581854601,3.96741337893237e-06,0.040191572348206
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",11224,11590,"T7p21","3.8",17881,7858351,0.00227541376046959,0.00621697748762184,3.96741337893237e-06,0.00156701026432865
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",11564,13265,"T7p22","4A",190020,7858351,0.024180645532377,0.0142155470501922,3.96741337893237e-06,0.00358307685447631
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",11634,11757,"T7p23","4.1",17161,7858351,0.00218379148500748,0.017754402317134,3.96741337893237e-06,0.00447505732863957
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",11753,13265,"T7p24","4B",178096,7858351,0.022663278848196,0.0149889410371667,3.96741337893237e-06,0.00377801343231852
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",12987,13326,"T7p25","4.2",86468,7858351,0.0110033262703588,0.0324581895880789,3.96741337893237e-06,0.00818119678691345
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",13351,13564,"T7p26","4.3",156588,7858351,0.019926317875086,0.0935507881459437,3.96741337893237e-06,0.0235797934852754
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",13583,13853,"T7p27","4.5",148781,7858351,0.0189328524521239,0.0701216757486069,3.96741337893237e-06,0.0176744062317692
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",13926,14334,"T7p28","4.7",42735,7858351,0.00543816380815772,0.0133288328631317,3.96741337893237e-06,0.00335957753580961
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",14352,16467,"T7p29","5",230560,7858351,0.0293394886535356,0.0138720986541539,3.96741337893237e-06,0.00349650952124554
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",16482,16839,"T7p30","5.3",119035,7858351,0.0151475799439348,0.042430195921386,3.96741337893237e-06,0.0106946748092088
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",16850,17359,"T7p31","5.5-5.7",232226,7858351,0.0295514924187021,0.0580579418835012,3.96741337893237e-06,0.0146337011897471
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",16850,17150,"T7p32","5.5",149007,7858351,0.0189616116663661,0.0632053722212205,3.96741337893237e-06,0.0159311284669381
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",17149,17359,"T7p33","5.7",137102,7858351,0.0174466627922321,0.0830793466296767,3.96741337893237e-06,0.0209404311309837
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",17358,17517,"T7p34","5.9",102704,7858351,0.0130694085820295,0.0821975382517578,3.96741337893237e-06,0.0207181683381522
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",17503,18406,"T7p35","6",506033,7858351,0.0643942984985018,0.0713115155022168,3.96741337893237e-06,0.0179743093777152
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",18393,18507,"T7p36","6.3",107507,7858351,0.013680605511258,0.120005311502263,3.96741337893237e-06,0.0302477458334722
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",18604,18859,"T7p37","6.5",273387,7858351,0.0347893597524468,0.136428861774301,3.96741337893237e-06,0.0343873573897697
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",18863,19130,"T7p38","6.7",303109,7858351,0.0385715781847871,0.144462839643397,3.96741337893237e-06,0.0364123487636855
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",19129,19531,"T7p39","7",466021,7858351,0.0593026450460154,0.147519017527401,3.96741337893237e-06,0.0371826687661922
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",19534,19834,"T7p40","7.3",377120,7858351,0.0479897118364909,0.159965706121636,3.96741337893237e-06,0.0403198988467098
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",19847,20240,"T7p41","7.7",360888,7858351,0.0459241385374616,0.116855314344686,3.96741337893237e-06,0.0294537783648176
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",20239,21850,"T7p42","8",756678,7858351,0.0962896668779493,0.0597701222085347,3.96741337893237e-06,0.0150652620485488
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",21949,22873,"T7p43","9",407789,7858351,0.051892439011696,0.0561606482810562,3.96741337893237e-06,0.0141554819014522
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",22966,24162,"T7p44","10B",709161,7858351,0.0902429784569307,0.0754539953653267,3.96741337893237e-06,0.0190184354788942
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",22966,24004,"T7p45","10A",662912,7858351,0.0843576470432537,0.0812694094829034,3.96741337893237e-06,0.0204842303336621
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",24227,24818,"T7p46","11",60555,7858351,0.0077058151258451,0.0130386042738496,3.96741337893237e-06,0.00328642443539833
